Country or Area,Year,Area,Sex,Age,Marital status,Record Type,Reliability,Source Year,Value,Value Footnotes
Albania,2011,Total,Both Sexes,15 - 19,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,15854,
Albania,2011,Total,Both Sexes,15 - 19,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,14345,
Albania,2011,Total,Both Sexes,15 - 19,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,1486,
Albania,2011,Total,Both Sexes,15 - 19,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,11,
Albania,2011,Total,Both Sexes,15 - 19,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,10,
Albania,2011,Total,Both Sexes,15 - 19,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,2,
Albania,2011,Total,Both Sexes,15 +,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,677950,
Albania,2011,Total,Both Sexes,15 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,122045,
Albania,2011,Total,Both Sexes,15 +,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,537392,
Albania,2011,Total,Both Sexes,15 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,10816,
Albania,2011,Total,Both Sexes,15 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,6795,
Albania,2011,Total,Both Sexes,15 +,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,902,
Albania,2011,Total,Both Sexes,20 - 24,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,54504,
Albania,2011,Total,Both Sexes,20 - 24,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,43016,
Albania,2011,Total,Both Sexes,20 - 24,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,11301,
Albania,2011,Total,Both Sexes,20 - 24,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,20,
Albania,2011,Total,Both Sexes,20 - 24,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,122,
Albania,2011,Total,Both Sexes,20 - 24,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,45,
Albania,2011,Total,Both Sexes,25 - 29,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,75204,
Albania,2011,Total,Both Sexes,25 - 29,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,37514,
Albania,2011,Total,Both Sexes,25 - 29,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,36980,
Albania,2011,Total,Both Sexes,25 - 29,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,126,
Albania,2011,Total,Both Sexes,25 - 29,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,486,
Albania,2011,Total,Both Sexes,25 - 29,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,98,
Albania,2011,Total,Both Sexes,30 - 34,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,70180,
Albania,2011,Total,Both Sexes,30 - 34,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,13687,
Albania,2011,Total,Both Sexes,30 - 34,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,55290,
Albania,2011,Total,Both Sexes,30 - 34,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,267,
Albania,2011,Total,Both Sexes,30 - 34,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,793,
Albania,2011,Total,Both Sexes,30 - 34,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,143,
Albania,2011,Total,Both Sexes,35 - 39,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,77883,
Albania,2011,Total,Both Sexes,35 - 39,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,5655,
Albania,2011,Total,Both Sexes,35 - 39,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,70254,
Albania,2011,Total,Both Sexes,35 - 39,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,668,
Albania,2011,Total,Both Sexes,35 - 39,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1162,
Albania,2011,Total,Both Sexes,35 - 39,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,144,
