,gender,Age Adjusted Rate,Butte,CALIFORNIA,Calaveras,Contra Costa,El Dorado,Fresno,Humboldt,Imperial,Inyo,Kern,Lake,Los Angeles,Madera,Marin,Mendocino,Merced,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Tehama,Tulare,Ventura,Yolo,Asian-NH,Black-NH,Hisp,Multi-NH,NHPI-NH,White-NH
gender,1.0,0.8569287513884158,0.012063612669826642,0.019140499287268287,,0.003859518212543493,0.015788087281493293,0.026541283810324758,0.010857251402844218,0.04813940515116156,0.03441999694302473,0.019811715706734175,0.020127050644974387,0.011588268168867013,0.00056834835088552,0.011046256866128375,0.0004916240225223827,0.02594510221793425,0.023597168852763764,0.03387920731562031,0.013510902875727229,0.005122652531528128,0.049162132351616906,,0.006697501920226323,0.0013621571896236108,0.01078080014833798,0.001329201088508578,0.03531426057512982,0.01258735437623244,0.02794818428777247,0.03369615581268308,0.015436802383738863,0.024521702037331988,0.008127381417666245,0.012063612669826657,0.0002831729714772855,0.013828231901177475,0.007053017551729443,0.02594510221793418,0.0002831729714773614,0.01028493181790029,0.012587354376232537,0.015788087281493286,0.0005931948649998328,0.01679024724216171,0.017632543879322685,0.0013944918194410494,0.0006361843207488933,0.006969172070216391
Age Adjusted Rate,0.8569287513884158,1.0,0.11451444234320712,0.05586788353593343,,0.03599054890570506,0.061608655423015656,0.015062464180156306,0.1403681525305993,0.03805523294802068,0.13367811161925086,0.014101455170585173,0.17411256667508626,0.10029856437945672,0.03171479795678798,0.03796895462275347,0.1268740060431795,0.02845846012621504,0.03083168703862683,0.024346507026379326,0.11179773234161564,0.05374509851416152,0.06167721317923727,,0.009941035950177493,0.05541696450440051,0.017399749492024167,0.0246909843281047,0.006181893988196364,0.030931269228501628,0.027867230332195646,0.08775298518452446,0.01814177224385558,0.08350038467928016,0.05107857571225691,0.16611128774725384,0.07561002747292876,0.019122557281115813,0.01950781162128746,0.02749300829958557,0.06193254930230145,0.0046230568681660785,0.015904186930587372,0.015030793695322106,0.06621916990543993,0.026830471936041125,0.06479142094418848,0.030248113756796806,0.01387337274370144,0.1494831795501171
Butte,0.012063612669826642,0.11451444234320712,1.0,0.03151331762241803,,0.024310831916316344,0.007910639846338021,0.019668431441216272,0.01063829787234013,0.004994322185935661,0.003529450845346747,0.017900577052302923,0.006120359084656827,0.025154745312519405,0.010023960843999343,0.011775007501217256,0.008670773732430807,0.013782946160499132,0.016366759292394693,0.007071332991824664,0.009371026523127055,0.020005679837981013,0.010023960843999393,,0.02373516670596435,0.024024368700779366,0.02098958989291559,0.02344312188862083,0.022244202665006384,0.018266085321064197,0.012815976535601018,0.017900577052302854,0.015125495013557949,0.021624465054517924,0.013782946160499111,0.010638297872340276,0.00499432218593566,0.0196684314412164,0.015549260339277952,0.01378294616049893,0.0049943221859355385,0.012815976535601082,0.018266085321064163,0.007910639846337974,0.04544508940682858,0.03711087303753586,0.06219704135711186,0.024594654622590563,0.011220383961376429,0.13237032287477382
CALIFORNIA,0.019140499287268287,0.05586788353593343,0.03151331762241803,1.0,,0.07201480697734565,0.023433307570976253,0.05826284755133038,0.03151331762241745,0.01479444016728382,0.010455122319080296,0.05302601760573712,0.018130045061016602,0.07451469100198105,0.029693496619694688,0.03488053783086827,0.025685015586248573,0.040828557852078715,0.04848246309890615,0.020947069283014798,0.027759340715512615,0.05926186224075096,0.029693496619694722,,0.07030954163925295,0.07116623078530036,0.062176451627618166,0.06944443133689651,0.06589293064094097,0.05410874515344319,0.03796415028553842,0.05302601760573729,0.04480552568450521,0.06405711175372468,0.04082855785207889,0.031513317622418165,0.01479444016728382,0.058262847551330335,0.04606082530734227,0.040828557852078784,0.014794440167283785,0.03796415028553846,0.054108745153443695,0.023433307570976163,0.009844081200815452,0.02145159722709841,0.08013321663058297,0.1126462401287318,0.3560521331271869,0.15174283739416988
Calaveras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,0.003859518212543493,0.03599054890570506,0.024310831916316344,0.07201480697734565,,1.0,0.01807753815155487,0.04494665749755013,0.024310831916316517,0.011413115956631595,0.008065565308263899,0.04090672447281829,0.013986355971611545,0.05748408180789727,0.02290693775813507,0.026908461448492092,0.01981460994259222,0.03149703941743565,0.03740161621218858,0.016159538852123772,0.021414840364585446,0.045717343671802635,0.022906937758135053,,0.05424003493967701,0.054900924601743395,0.04796579283663336,0.053572648807829845,0.05083285677753585,0.04174199062089147,0.029287302831642582,0.04090672447281817,0.03456505649101512,0.04941662111074192,0.03149703941743569,0.024310831916316257,0.01141311595663168,0.04494665749755006,0.035533452725935936,0.0314970394174357,0.01141311595663155,0.02928730283164262,0.04174199062089155,0.01807753815155479,0.02390836153535242,0.07961421131547919,2.556856842694437e-16,0.036654881980140004,0.025641025641026004,0.07562376774775209
El Dorado,0.015788087281493293,0.061608655423015656,0.007910639846338021,0.023433307570976253,,0.01807753815155487,1.0,0.014625448482542597,0.007910639846337995,0.003713778704414278,0.0026245001623320828,0.013310871701624823,0.00455109990620451,0.018705072275808247,0.007453818742643703,0.008755897291825515,0.006447588609516856,0.010249000771134734,0.01217032459210123,0.005258244241994468,0.006968296686604392,0.014876226439465167,0.0074538187426437235,,0.017649473417345633,0.017864524062785415,0.015607862099528707,0.01743230884866069,0.016540792339471068,0.013582663703477727,0.009529962017312503,0.013310871701624798,0.011247320293685038,0.016079955362105623,0.01024900077113469,0.007910639846338082,0.0037137787044142757,0.01462544848254252,0.011562432251571888,0.010249000771134725,0.003713778704414374,0.009529962017312477,0.013582663703477724,0.005882352941176497,0.033792975097713535,0.02759565059241388,0.04624972900628831,0.018288588757252963,0.008343479146871361,0.0984305913569486
Fresno,0.026541283810324758,0.015062464180156306,0.019668431441216272,0.05826284755133038,,0.04494665749755013,0.014625448482542597,1.0,0.01966843144121593,0.009233665449885636,0.006525363625823406,0.03309516961607498,0.011315519126906766,0.04650691205845163,0.01853262514318633,0.021770017209204934,0.016030808757669893,0.025482359571881243,0.030259397407392138,0.013073710645885443,0.017325458914170904,0.03698715217885628,0.01853262514318638,,0.04388234891559638,0.04441703497871991,0.03880623712007885,0.04334240694963613,0.04112580605763413,0.033770933202655624,0.023694594649214605,0.03309516961607497,0.027964507598731297,0.03998001498751107,0.025482359571881275,0.019668431441216255,0.00923366544988568,0.036363636363636744,0.02874797872880418,0.02548235957188128,0.009233665449885305,0.023694594649214664,0.033770933202655624,0.014625448482542271,0.0710244056968352,0.06861179023387327,0.028747978728803313,0.04547139815689362,0.020744611152715305,0.004370188612670338
Humboldt,0.010857251402844218,0.1403681525305993,0.01063829787234013,0.03151331762241745,,0.024310831916316517,0.007910639846337995,0.01966843144121593,1.0,0.0049943221859355715,0.003529450845346738,0.017900577052302875,0.006120359084656804,0.025154745312519374,0.010023960843999261,0.011775007501217493,0.008670773732430801,0.0137829461604987,0.016366759292394634,0.007071332991824636,0.009371026523126982,0.02000567983798108,0.010023960843999253,,0.02373516670596451,0.02402436870077928,0.020989589892915418,0.023443121888620737,0.0222442026650062,0.018266085321064194,0.012815976535600791,0.0179005770523028,0.01512549501355781,0.021624465054517816,0.013782946160498768,0.010638297872340179,0.004994322185935645,0.019668431441215977,0.015549260339277868,0.013782946160498724,0.004994322185935523,0.012815976535600895,0.018266085321064184,0.007910639846337964,0.04544508940682862,0.03711087303753534,0.06219704135711345,0.024594654622590473,0.011220383961376357,0.13237032287477268
Imperial,0.04813940515116156,0.03805523294802068,0.004994322185935661,0.01479444016728382,,0.011413115956631595,0.003713778704414278,0.009233665449885636,0.0049943221859355715,1.0,0.001656958178142019,0.0084037174166565,0.0028733022452651193,0.011809304844012448,0.004705911663208887,0.005527969033071619,0.004070635936384097,0.006470628536912103,0.007683641690312266,0.003319752433049683,0.00439938101292786,0.009391992201998052,0.004705911663208891,,0.011142860548648723,0.011278631134907919,0.009853904800732864,0.011005755353057678,0.010442903198559507,0.008575311225903388,0.0060166688989411864,0.008403717416656489,0.007100909960030361,0.010151957284592561,0.006470628536912113,0.0049943221859356105,0.0023446658851113446,0.009233665449885626,0.007299853493410624,0.006470628536912105,0.0023446658851113307,0.006016668898941166,0.00857531122590338,0.0037137787044143346,0.021334937317037134,0.017422303715776095,0.02554948722693664,0.011546361148280717,0.005267591979983837,0.01220674002969466
